datetime,location,trans,rugosity
2020-08-06T10:00:00Z,Vegetated,deep,1.351351351
2020-08-06T10:00:00Z,Vegetated,deep,1.351351351
2020-08-06T10:00:00Z,Vegetated,deep,1.428571429
2020-08-06T10:00:00Z,Vegetated,deep,1.351351351
2020-08-06T10:00:00Z,Vegetated,shallow,1.470588235
2020-08-06T10:00:00Z,Vegetated,shallow,1.351351351
2020-08-06T10:00:00Z,Vegetated,shallow,1.428571429
2020-08-06T10:00:00Z,Vegetated,shallow,2
2020-08-06T10:00:00Z,Vegetated,shallow,1.470588235
2020-08-06T10:00:00Z,Vegetated,shallow,1.351351351
2020-08-06T17:45:00Z,Vegetated,deep,1.515151515
2020-08-06T17:45:00Z,Vegetated,deep,1.428571429
2020-08-06T17:45:00Z,Vegetated,deep,1.19047619
2020-08-06T17:45:00Z,Vegetated,deep,1.315789474
2020-08-06T17:45:00Z,Vegetated,shallow,1.351351351
2020-08-06T17:45:00Z,Vegetated,shallow,1.470588235
2020-08-06T17:45:00Z,Vegetated,shallow,1.428571429
2020-08-06T17:45:00Z,Vegetated,shallow,1.5625
2020-08-06T17:45:00Z,Vegetated,shallow,1.428571429
2020-08-06T17:45:00Z,Vegetated,shallow,1.315789474
2020-08-07T06:24:00Z,Vegetated,deep,1.666666667
2020-08-07T06:24:00Z,Vegetated,deep,1.162790698
2020-08-07T06:24:00Z,Vegetated,deep,1.470588235
2020-08-07T06:24:00Z,Vegetated,deep,1.219512195
2020-08-07T06:24:00Z,Vegetated,shallow,1.25
2020-08-07T06:24:00Z,Vegetated,shallow,1.515151515
2020-08-07T06:24:00Z,Vegetated,shallow,1.388888889
2020-08-07T06:24:00Z,Vegetated,shallow,1.351351351
2020-08-07T06:24:00Z,Vegetated,shallow,1.428571429
2020-08-07T06:24:00Z,Vegetated,shallow,1.19047619
2020-08-07T06:25:00Z,Vegetated,deep,1.470588235
2020-08-07T06:25:00Z,Vegetated,deep,1.351351351
2020-08-07T06:25:00Z,Vegetated,deep,1.25
2020-08-07T06:25:00Z,Vegetated,deep,1.470588235
2020-08-07T06:25:00Z,Vegetated,shallow,1.388888889
2020-08-07T06:25:00Z,Vegetated,shallow,1.282051282
2020-08-07T06:25:00Z,Vegetated,shallow,1.19047619
2020-08-07T06:25:00Z,Vegetated,shallow,1.219512195
2020-08-07T06:25:00Z,Vegetated,shallow,1.428571429
2020-08-07T06:25:00Z,Vegetated,shallow,1.388888889
2020-08-07T17:10:00Z,Vegetated,deep,1.351351351
2020-08-07T17:10:00Z,Vegetated,deep,1.282051282
2020-08-07T17:10:00Z,Vegetated,deep,1.162790698
2020-08-07T17:10:00Z,Vegetated,deep,1.470588235
2020-08-07T17:10:00Z,Vegetated,shallow,1.19047619
2020-08-07T17:10:00Z,Vegetated,shallow,1.136363636
2020-08-07T17:10:00Z,Vegetated,shallow,1.351351351
2020-08-07T17:10:00Z,Vegetated,shallow,1.388888889
2020-08-07T17:10:00Z,Vegetated,shallow,1.19047619
2020-08-07T17:10:00Z,Vegetated,shallow,1.351351351
2020-08-08T06:13:00Z,Vegetated,deep,1.25
2020-08-08T06:13:00Z,Vegetated,deep,1.315789474
2020-08-08T06:13:00Z,Vegetated,deep,1.470588235
2020-08-08T06:13:00Z,Vegetated,deep,1.851851852
2020-08-08T06:13:00Z,Vegetated,shallow,1.282051282
2020-08-08T06:13:00Z,Vegetated,shallow,1.19047619
2020-08-08T06:13:00Z,Vegetated,shallow,1.25
2020-08-08T06:13:00Z,Vegetated,shallow,1.282051282
2020-08-08T06:13:00Z,Vegetated,shallow,1.666666667
2020-08-08T06:13:00Z,Vegetated,shallow,1.219512195
2020-08-30T06:15:00Z,Isoyake,deep,1.162790698
2020-08-30T06:15:00Z,Isoyake,deep,1.162790698
2020-08-30T06:15:00Z,Isoyake,deep,1.162790698
2020-08-30T06:15:00Z,Isoyake,deep,1.111111111
2020-08-30T06:15:00Z,Isoyake,deep,1.041666667
2020-08-30T06:15:00Z,Isoyake,shallow,1.19047619
2020-08-30T06:15:00Z,Isoyake,shallow,1.388888889
2020-08-30T06:15:00Z,Isoyake,shallow,1.315789474
2020-08-30T06:15:00Z,Isoyake,shallow,1.19047619
2020-08-30T06:15:00Z,Isoyake,shallow,1.136363636
2020-08-30T18:00:00Z,Isoyake,deep,1
2020-08-30T18:00:00Z,Isoyake,deep,1.041666667
2020-08-30T18:00:00Z,Isoyake,deep,1.086956522
2020-08-30T18:00:00Z,Isoyake,deep,1.219512195
2020-08-30T18:00:00Z,Isoyake,deep,1.111111111
2020-08-30T18:00:00Z,Isoyake,shallow,1.041666667
2020-08-30T18:00:00Z,Isoyake,shallow,1.470588235
2020-08-30T18:00:00Z,Isoyake,shallow,1.388888889
2020-08-30T18:00:00Z,Isoyake,shallow,1.351351351
2020-08-30T18:00:00Z,Isoyake,shallow,1.041666667
2020-08-31T06:24:00Z,Isoyake,deep,1
2020-08-31T06:24:00Z,Isoyake,deep,1.020408163
2020-08-31T06:24:00Z,Isoyake,deep,1.219512195
2020-08-31T06:24:00Z,Isoyake,deep,1.162790698
2020-08-31T06:24:00Z,Isoyake,deep,1.020408163
2020-08-31T06:24:00Z,Isoyake,shallow,1.111111111
2020-08-31T06:24:00Z,Isoyake,shallow,1.19047619
2020-08-31T06:24:00Z,Isoyake,shallow,1.315789474
2020-08-31T06:24:00Z,Isoyake,shallow,1.315789474
2020-08-31T06:24:00Z,Isoyake,shallow,1.086956522
2020-08-31T07:09:00Z,Isoyake,deep,1.315789474
2020-08-31T07:09:00Z,Isoyake,deep,1.063829787
2020-08-31T07:09:00Z,Isoyake,deep,1.282051282
2020-08-31T07:09:00Z,Isoyake,deep,1.162790698
2020-08-31T07:09:00Z,Isoyake,deep,1.162790698
2020-08-31T07:09:00Z,Isoyake,deep,1.351351351
2020-08-31T07:09:00Z,Isoyake,shallow,1.351351351
2020-08-31T07:09:00Z,Isoyake,shallow,1.111111111
2020-08-31T07:09:00Z,Isoyake,shallow,1.162790698
2020-08-31T07:09:00Z,Isoyake,shallow,1.282051282
2020-08-31T17:15:00Z,Isoyake,deep,1.219512195
2020-08-31T17:15:00Z,Isoyake,deep,1
2020-08-31T17:15:00Z,Isoyake,deep,1.315789474
2020-08-31T17:15:00Z,Isoyake,deep,1.111111111
2020-08-31T17:15:00Z,Isoyake,deep,1.219512195
2020-08-31T17:15:00Z,Isoyake,deep,1.086956522
2020-08-31T17:15:00Z,Isoyake,shallow,1.086956522
2020-08-31T17:15:00Z,Isoyake,shallow,1.19047619
2020-08-31T17:15:00Z,Isoyake,shallow,1.315789474
2020-08-31T17:15:00Z,Isoyake,shallow,1.25
2020-09-01T06:23:00Z,Isoyake,deep,1.19047619
2020-09-01T06:23:00Z,Isoyake,deep,1.351351351
2020-09-01T06:23:00Z,Isoyake,deep,1.041666667
2020-09-01T06:23:00Z,Isoyake,deep,1.25
2020-09-01T06:23:00Z,Isoyake,deep,1.020408163
2020-09-01T06:23:00Z,Isoyake,deep,1.25
2020-09-01T06:23:00Z,Isoyake,deep,1.162790698
2020-09-01T06:23:00Z,Isoyake,deep,1.388888889
2020-09-01T06:23:00Z,Isoyake,shallow,1.19047619
2020-09-01T06:23:00Z,Isoyake,shallow,1.19047619